ano;ies;cidade;estado;regiao;categoria1;categoria2;degree;closeness;betweenness
2016;UEL;Londrina;Paraná;Sul;Universidade;Pública Estadual;0.009950248756218905;0.26459405708937767;0.013642128528052251
2016;UNIVALI;Itajaí;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.009950248756218905;0.2946521625846795;0.010218520321619455
2016;FASM;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;UNICAP;Recife;Pernambuco;Nordeste;Universidade;Privada sem fins lucrativos;0.006218905472636815;0.2620192307692308;0.008115824329546767
2016;FGVPR;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.006218905472636815;0.20354121670266379;0.0068200438324634806
2016;UFRGS;Porto Alegre;Rio Grande do Sul;Sul;Universidade;Pessoa Jurídica de Direito Público - Federal;0.04477611940298507;0.28243631368631367;0.055133113966646496
2016;UFPA;Belém;Pará;Norte;Universidade;Pessoa Jurídica de Direito Público - Federal;0.0024875621890547263;1.2386363636363638;1.7960157187295703e-06
2016;UAM;São Paulo;São Paulo;Sudeste;Universidade;Privada com fins lucrativos;0.01243781094527363;0.2920648243801653;0.008575851451548029
2016;UEMS;Dourados;Mato Grosso do Sul;Centro-oeste;Universidade;Pública Estadual;0.0012437810945273632;0.23173668032786887;0.0
2016;CENTRO UNIVERSITÁRIO UNIVEL;Cascavel;Paraná;Sul;Centro Universitário;Privada com fins lucrativos;0.0012437810945273632;0.8257575757575758;0.0
2016;UMC;Mogi das Cruzes;São Paulo;Sudeste;Universidade;Privada com fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;FSM;Cajazeiras;Paraíba;Nordeste;Faculdade;Privada com fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;UNIFOR;Fortaleza;Ceará;Nordeste;Universidade;Privada sem fins lucrativos;0.0024875621890547263;0.2560858242753623;0.0016379663354813682
2016;UNIA;Santo André;São Paulo;Sudeste;Centro Universitário;Privada com fins lucrativos;0.0037313432835820895;0.18228159252095422;0.0032741366552440066
2016;UNESC;Criciúma;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.004975124378109453;1.0321969696969697;1.6164141468566133e-05
2016;UFRJ;Rio de Janeiro;Rio de Janeiro;Sudeste;Universidade;Pessoa Jurídica de Direito Público - Federal;0.03855721393034826;0.2830017517517518;0.04310697486845643
2016;CEUN-IMT;São Caetano do Sul;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.009950248756218905;0.2784034958148695;0.004373399951947384
2016;FACULDADE CNEC VARGINHA;Varginha;Minas Gerais;Sudeste;Faculdade;Privada sem fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;UECE;Fortaleza;Ceará;Nordeste;Universidade;Pública Estadual;0.0024875621890547263;0.22340478071908335;0.0001489122077694405
2016;FEBASP;São Paulo;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.0037313432835820895;0.26571311090225563;0.0018744487380279533
2016;UCP;Petrópolis;Rio de Janeiro;Sudeste;Universidade;Privada sem fins lucrativos;0.0024875621890547263;0.2294795048701299;7.388789435433686e-05
2016;FACULDADE CESUSC;Florianópolis;Santa Catarina;Sul;Faculdade;Privada com fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;FACSPEI;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.0024875621890547263;0.22882942128692835;0.0016379663354813684
2016;FACIC;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.0012437810945273632;0.17921949286846275;0.0
2016;FAMINAS-BH;Belo Horizonte;Minas Gerais;Sudeste;Faculdade;Privada com fins lucrativos;0.0012437810945273632;0.18030532525510204;0.0
2016;FURB;Blumenau;Santa Catarina;Sul;Universidade;Pública Municipal;0.004975124378109453;0.20201411218292248;0.00259863581698004
2016;UNIVILLE;Joinville;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.0024875621890547263;0.2306966544267646;0.00558806733335491
2016;ESNS;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;USCS;São Caetano do Sul;São Paulo;Sudeste;Universidade;Pública Municipal;0.0024875621890547263;0.1954502246802627;0.0016379663354813682
2016;FGVRS;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.01243781094527363;0.26509024847632445;0.007370477489779823
2016;FIVJ;Juiz de Fora;Minas Gerais;Sudeste;Faculdade;Privada com fins lucrativos;0.0012437810945273632;0.7431818181818183;0.0
2016;UCAM;Rio de Janeiro;Rio de Janeiro;Sudeste;Universidade;Privada sem fins lucrativos;0.011194029850746268;0.2994902012711865;0.011154708043190782
2016;MACKENZIE;São Paulo;São Paulo;Sudeste;Universidade;Privada sem fins lucrativos;0.04353233830845771;0.30221138428647787;0.044166842543058756
2016;FCL;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.006218905472636815;0.2731582125603865;0.0009597198589075104
2016;FADEP;Pato Branco;Paraná;Sul;Faculdade;Privada com fins lucrativos;0.0012437810945273632;1.2386363636363638;0.0
2016;Centro Universitário UNIBTA;São Paulo;São Paulo;Sudeste;Centro Universitário;Privada com fins lucrativos;0.0024875621890547263;1.2386363636363638;1.7960157187295703e-06
2016;FSL;Jaboticabal;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.0024875621890547263;0.20926628423390084;0.0032723406395252772
2016;CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA;Vitória;Espírito Santo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.0037313432835820895;0.1727054062309102;0.0032741366552440066
2016;EEP/FUMEP;Piracicaba;São Paulo;Sudeste;Faculdade;Pública Municipal;0.0012437810945273632;0.22864435907804287;0.0
2016;UFRN;Natal;Rio Grande do Norte;Nordeste;Universidade;Pessoa Jurídica de Direito Público - Federal;0.007462686567164179;0.2300396663954435;0.009799061761388537
2016;UVA;Sobral;Ceará;Nordeste;Universidade;Pública Estadual;0.0024875621890547263;0.2346213692946058;0.0016379663354813682
2016;UFOP;Ouro Preto;Minas Gerais;Sudeste;Universidade;Pública Federal;0.0012437810945273632;1.2386363636363638;0.0
2016;UEMG;Belo Horizonte;Minas Gerais;Sudeste;Universidade;Pública Estadual;0.0012437810945273632;0.2134531898829747;0.0
2016;PUC GOIÁS;Goiânia;Goiás;Centro-oeste;Universidade;Privada sem fins lucrativos;0.0024875621890547263;0.45633971291866027;1.0776094312377422e-05
2016;FUMEC;Belo Horizonte;Minas Gerais;Sudeste;Universidade;Privada sem fins lucrativos;0.014925373134328358;0.22340478071908335;0.013398538658543365
2016;UNISANTOS;Santos;São Paulo;Sudeste;Universidade;Privada sem fins lucrativos;0.0037313432835820895;0.16893860173289513;0.0032741366552440066
2016;UFABC;Santo André;São Paulo;Sudeste;Universidade;Pública Federal;0.0024875621890547263;0.1835836038961039;0.0016379663354813682
2016;UNINOVE;Mauá;São Paulo;Sudeste;Universidade;Privada sem fins lucrativos;0.007462686567164179;0.2618978693839741;0.0032502049468489053
2016;ESPM;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.07338308457711443;0.3619958386683739;0.14276600591724006
