ano;cod_ies;nome_ies;sigla_ies;categoria_adm;organizacao_acad;uf;igc_continuo;igc_faixa;nome_google_place;latitude;longitude;endereco;endereco_detalhe
2018;2460;FACULDADE ESTÁCIO DE NATAL;ESTÁCIO DE NATAL;Privada com fins lucrativos;Faculdade;RN;2,44782;3;Estácio Alexandrino;-5.8004959;-35.212462;Av. Alm. Alexandrino de Alencar, 708 - Alecrim, Natal - RN, 59030-350, Brasil;5QXQ+R2 Alecrim, Natal - RN
2018;2462;FACULDADE SÃO LUÍS;FSL;Privada sem fins lucrativos;Faculdade;SC;3,01392;4;Faculdade São Luís;-21.2583657;-48.322473;Av. Mal. Deodoro, 689 - Centro, Jaboticabal - SP, 14870-180, Brasil;PMRH+M2 Centro, Jaboticabal - SP
2018;2465;FACULDADE IBMEC SÃO PAULO;IBMEC SP;Privada com fins lucrativos;Faculdade;SP;3,06599;4;Ibmec São Paulo;-23.5578111;-46.6623744;Alameda Santos, 2356 - Cerqueira César, São Paulo - SP, 01419-002, Brasil;C8RQ+V3 Cerqueira César - Jardim Paulista, São Paulo - SP
2018;2468;INSTITUTO TEOLÓGICO FRANCISCANO;ITF;Privada sem fins lucrativos;Faculdade;RJ;3,3858;4;Instituto Teológico Franciscano;-22.5238596;-43.19241969999999;R. Cel. Veiga, 550 - Centro, Petrópolis - RJ, 25655-151, Brasil;FRG5+F2 Centro, Petrópolis - RJ
2018;2469;INSTITUTO MACAPAENSE DE ENSINO SUPERIOR;IMMES;Privada com fins lucrativos;Faculdade;AP;1,58735;2;IMMES - Instituto Macapaense de Melhor Ensino Superior;0.0333989;-51.0601616;R. Jovino Dinoá, 2085 - Central, Macapá - AP, 68900-075, Brasil;2WMQ+9W Central, Macapá - AP
2018;2470;INSTITUTO SALVADOR DE ENSINO E CULTURA;ISEC;Privada com fins lucrativos;Faculdade;BA;2,53178;3;UNICEUSA / FACSAL - ISEC;-12.9692646;-38.4222764;Av. Jorge Amado, 780 - Imbuí, Salvador - BA, 41720-040, Brasil;2HJH+73 Imbuí - Calmon, Salvador - BA
2018;2474;FACULDADE MARIA MILZA;FAMAM;Privada com fins lucrativos;Faculdade;BA;3,14125;4;Faculdade Maria Milza - FAMAM;-12.6098076;-39.0767362;BR-101, Gov. Mangabeira - BA, 44350-000, Brasil;9WRF+38 Cruz das Almas, BA
2018;2475;FACULDADE DOM LUCIANO MENDES;FDLM;Privada sem fins lucrativos;Faculdade;MG;2,91223;3;Faculdade Dom Luciano Mendes;-20.3884824;-43.4124507;Rodovia dos Inconfidentes, 108 - Cartucha, Mariana - MG, 35420-000, Brasil;JH6Q+J2 Cartucha, Mariana - MG
2018;2477;FACULDADE DE ADMINISTRAÇÃO DE MARIANA;FAMA;Privada sem fins lucrativos;Faculdade;MG;1,87749;2;Colégio Providência;-20.3799118;-43.4184954;R. Dom Silvério, 161, Mariana - MG, 35420-000, Brasil;JHCJ+2J Mariana, MG
2018;2478;FACULDADE DE INTEGRAÇÃO DO ENSINO SUPERIOR DO CONE SUL;FISUL;Privada com fins lucrativos;Faculdade;RS;2,60274;3;Faculdade FISUL;-29.255228;-51.524807;Rua Presidente Vargas, 561 - Centro, Garibaldi - RS, 95720-000, Brasil;PFVG+W3 Centro, Garibaldi - RS
2018;2484;FACULDADE PROCESSUS;PFD;Privada sem fins lucrativos;Faculdade;DF;3,30962;4;Faculdade Processus, Campus II - Águas Claras;-15.8336819;-48.0454341;Av. das Araucárias, 4400 - Águas Claras, Brasília - DF, 71936-250, Brasil;5X83+GR Águas Claras, Brasília - DF
2018;2485;FACULDADE CATÓLICA DE FORTALEZA;FCF;Privada sem fins lucrativos;Faculdade;CE;2,83391;3;Faculdade Católica de Fortaleza - FCF;-3.72462;-38.518723;Rua Tenente Benévolo, 201 - Praia de Iracema, Fortaleza - CE, 60160-040, Brasil;7FGJ+5G Praia de Iracema, Fortaleza - CE
2018;2488;FACULDADE ANGLICANA DE ERECHIM;FAE;Privada sem fins lucrativos;Faculdade;RS;2,46452;3;Faculdade Anglicana de Erechim;-27.6358039;-52.2731175;Av. Sete de Setembro, 44 - Centro, Erechim - RS, 99700-300, Brasil;9P7G+MQ Centro, Erechim - RS
2018;2491;INSTITUTO SUPERIOR DE EDUCAÇÃO DO CECAP;ISCECAP;Privada sem fins lucrativos;Faculdade;DF;1,87996;2;Faculdade CECAP;-15.7764338;-47.7796098;Avenida Paranoá Quadra 10 Conjunto 4 Lote 10/11 - Paranoá, Brasília - DF, 71571-033, Brasil;66FC+C5 Paranoá, Brasília - DF
2018;2494;FUNVIC - FACULDADE DE PINDAMONHANGABA;;Privada sem fins lucrativos;Centro Universitário;SP;2,76675;3;UniFUNVIC - Centro Universitário;-22.9885332;-45.4674716;Estrada Radialista Percy Lacerda, Estr. Mun. do Pinhão do Borba, Bairro - n° 1000, Pindamonhangaba - SP, 12412-825, Brasil;2G6M+H2 Pindamonhangaba, SP
2018;2497;CENTRO UNIVERSITÁRIO ATENEU;;Privada com fins lucrativos;Centro Universitário;CE;2,94726;4;UniAteneu Messejana - Reitoria;-3.8326748;-38.5026334;R. Antônio Gadelha, 621 - Messejana, Fortaleza - CE, 60871-055, Brasil;5F8W+WW Messejana, Fortaleza - CE
2018;2499;FASS - FACULDADE SOCIAL SUL AMERICANA;;Privada com fins lucrativos;Faculdade;BA;1,64826;2;;;;;
2018;2501;FACULDADE ESTÁCIO DE SÁ DE GOIÁS;FESGO;Privada com fins lucrativos;Faculdade;GO;2,3021;3;Estácio de Sá de Goiás;-16.6616208;-49.2620553;Av. Goiás, 2151 - St. Central, Goiânia - GO, 74063-010, Brasil;8PQQ+95 St. Central, Goiânia - GO
2018;2511;FACULDADE DE DIREITO UNIDADE GUARAPARI;FADIG;Privada com fins lucrativos;Faculdade;ES;2,27876;3;Faculdade Pitágoras, Unidade Guarapari;-20.6568516;-40.50397419999999;Rod. Jones dos Santos Neves, 1000 - Lagoa Funda, Guarapari - ES, 29214-005, Brasil;8FVW+7C Lagoa Funda, Guarapari - ES
2018;2513;Faculdade Positivo Londrina;FPL;Privada com fins lucrativos;Faculdade;PR;2,997;4;Universidade Positivo - Londrina;-23.3209117;-51.1797276;R. Pref. Faria Lima, 400 - Maringá, Londrina - PR, 86061-450, Brasil;MRHC+J4 Maringá, Londrina - PR
