ano;ies;cidade;estado;regiao;categoria1;categoria2;degree;closeness;betweenness
2014;NEWTON PAIVA;Belo Horizonte;Minas Gerais;Sudeste;Centro Universitário;Privada com fins lucrativos;0.002066115702479339;0.23541789357287513;0.0
2014;UNESC;Criciúma;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.006198347107438017;1.0263703703703702;2.1998908854120837e-05
2014;FGVRS;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.014462809917355372;0.21841915366969836;0.010202552720755896
2014;UFBA;Salvador;Bahia;Nordeste;Universidade;Pessoa Jurídica de Direito Público - Federal;0.008264462809917356;0.24041820511844494;0.007193643195297513
2014;UNIVALI;Itajaí;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.006198347107438017;0.25829250671355936;0.004800161911969167
2014;UCB;Rio de Janeiro;Rio de Janeiro;Sudeste;Universidade;Privada sem fins lucrativos;0.002066115702479339;1.2829629629629629;0.0
2014;ENIAC;Guarulhos;São Paulo;Sudeste;Centro Universitário;Privada com fins lucrativos;0.002066115702479339;1.2829629629629629;0.0
2014;FMU;Piracicaba;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.004132231404958678;0.22926518808910185;0.0003545938514498504
2014;USJT;São Paulo;São Paulo;Sudeste;Universidade;Privada com fins lucrativos;0.004132231404958678;0.18433956940917803;0.0024022808468699953
2014;PUC GOIÁS;Goiânia;Goiás;Centro-oeste;Universidade;Privada sem fins lucrativos;0.004132231404958678;0.47267056530214424;2.6398690624945003e-05
2014;UPF;Passo Fundo;Rio Grande do Sul;Sul;Universidade;Privada sem fins lucrativos;0.004132231404958678;1.2829629629629629;4.399781770824167e-06
2014;UNA;Belo Horizonte;Minas Gerais;Sudeste;Centro Universitário;Privada com fins lucrativos;0.006198347107438017;0.22500184057093325;0.0013329499678872254
2014;UCS;Caxias do Sul;Rio Grande do Sul;Sul;Universidade;Privada sem fins lucrativos;0.002066115702479339;1.2829629629629629;0.0
2014;UNITAU;Taubaté;São Paulo;Sudeste;Universidade;Pública Municipal;0.002066115702479339;0.23878215064332792;0.0
2014;FSJ;São José dos Pinhais;Paraná;Sul;Centro Universitário;Privada sem fins lucrativos;0.002066115702479339;0.2242827551104956;0.0
2014;UNIAMÉRICA;Curitiba;Paraná;Sul;Centro Universitário;Privada sem fins lucrativos;0.004132231404958678;0.20954934032270553;0.006607836172896747
2014;UNIC/UNIME;Cuiabá;Mato Grosso;Centro-oeste;Universidade;Privada com fins lucrativos;0.002066115702479339;1.2829629629629629;0.0
2014;FA-FAAP;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.04338842975206612;0.32444786904333833;0.07609795072845028
2014;UNC;Mafra;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.002066115702479339;0.8553086419753086;0.0
2014;UFMS;Campo Grande;Mato Grosso do Sul;Centro-oeste;Universidade;Pública Federal;0.002066115702479339;1.2829629629629629;0.0
2014;UFLA;Lavras;Minas Gerais;Sudeste;Universidade;Pessoa Jurídica de Direito Público - Federal;0.002066115702479339;0.8553086419753086;0.0
2014;FAE CENTRO UNIVERSITÁRIO;Curitiba;Paraná;Sul;Centro Universitário;Privada sem fins lucrativos;0.010330578512396695;1.2829629629629629;4.399781770824167e-05
2014;UCPEL;Pelotas;Rio Grande do Sul;Sul;Universidade;Privada sem fins lucrativos;0.004132231404958678;0.16689197163870173;0.0019416100123848085
2014;IFRN;Mossoró;Rio Grande do Norte;Nordeste;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;0.002066115702479339;0.5702057613168724;0.0
2014;IBMEC;Curitiba;Paraná;Sul;Faculdade;Privada com fins lucrativos;0.012396694214876033;0.22866755970698624;0.00885427482202552
2014;Estácio FAAC;Cotia;São Paulo;Sudeste;Faculdade;Privada com fins lucrativos;0.002066115702479339;0.2069539194163199;0.0
2014;UECE;Fortaleza;Ceará;Nordeste;Universidade;Pública Estadual;0.002066115702479339;0.20744331680187433;0.0
2014;FGVPR;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.006198347107438017;1.0263703703703702;2.1998908854120837e-05
