ano;ies;cidade;estado;regiao;categoria1;categoria2;degree;closeness;betweenness
2019;UEL;Londrina;Paraná;Sul;Universidade;Pública Estadual;0.00942507068803016;0.2627738953572526;0.008676615321480511
2019;UNIVALI;Itajaí;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.010367577756833175;0.29135758631109465;0.01802618850376724
2019;FASM;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;CUML;Ribeirão Preto;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.000942507068803016;0.2823756778463188;0.0
2019;UNICAP;Recife;Pernambuco;Nordeste;Universidade;Privada sem fins lucrativos;0.006597549481621112;0.2810919088998684;0.007303037962424198
2019;UNAMA;Belém;Pará;Norte;Universidade;Privada com fins lucrativos;0.001885014137606032;0.23423586220716738;0.0026968424653377398
2019;FGVPR;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.00942507068803016;0.23602420662993562;0.0074603627092720655
2019;UFRGS;Porto Alegre;Rio Grande do Sul;Sul;Universidade;Pessoa Jurídica de Direito Público - Federal;0.04241281809613572;0.2992305277439817;0.06241423569305042
2019;UNIVEM;Marília;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;UFPA;Belém;Pará;Norte;Universidade;Pessoa Jurídica de Direito Público - Federal;0.002827521206409048;0.20855715911207384;0.002697945919701626
2019;UAM;São Paulo;São Paulo;Sudeste;Universidade;Privada com fins lucrativos;0.016022620169651274;0.29021791259190405;0.009065104892251196
2019;UEMS;Dourados;Mato Grosso do Sul;Centro-oeste;Universidade;Pública Estadual;0.000942507068803016;0.23232882215162132;0.0
2019;UMC;Mogi das Cruzes;São Paulo;Sudeste;Universidade;Privada com fins lucrativos;0.001885014137606032;1.212323682256867;1.1034543638861456e-06
2019;CENTRO UNIVERSITÁRIO UNIVEL;Cascavel;Paraná;Sul;Centro Universitário;Privada com fins lucrativos;0.000942507068803016;0.8082157881712447;0.0
2019;FSM;Cajazeiras;Paraíba;Nordeste;Faculdade;Privada com fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;UNIFOR;Fortaleza;Ceará;Nordeste;Universidade;Privada sem fins lucrativos;0.001885014137606032;0.2501068914684654;0.001349524687032756
2019;UNIA;Santo André;São Paulo;Sudeste;Centro Universitário;Privada com fins lucrativos;0.011310084825636193;0.2875187341760134;0.01389837603486447
2019;UNESC;Criciúma;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.00471253534401508;0.1722842432465349;0.0067354854371610325
2019;UFRJ;Rio de Janeiro;Rio de Janeiro;Sudeste;Universidade;Pessoa Jurídica de Direito Público - Federal;0.03864278982092366;0.30476159110338985;0.046686135013583985
2019;CEUN-IMT;São Caetano do Sul;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.011310084825636193;0.28530747684722274;0.005850473609114414
2019;FACULDADE CNEC VARGINHA;Varginha;Minas Gerais;Sudeste;Faculdade;Privada sem fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;UECE;Fortaleza;Ceará;Nordeste;Universidade;Pública Estadual;0.002827521206409048;0.21999765560895557;0.00038201663120298625
2019;FEBASP;São Paulo;São Paulo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.003770028275212064;0.2658814167859533;0.0008079981309755054
2019;UCP;Petrópolis;Rio de Janeiro;Sudeste;Universidade;Privada sem fins lucrativos;0.001885014137606032;0.2277642650932318;7.241797704439296e-05
2019;FACULDADE CESUSC;Florianópolis;Santa Catarina;Sul;Faculdade;Privada com fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;FACSPEI;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.001885014137606032;0.22384736567844402;0.001349524687032756
2019;FACIC;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.000942507068803016;0.17984295080383048;0.0
2019;FAMINAS-BH;Belo Horizonte;Minas Gerais;Sudeste;Faculdade;Privada com fins lucrativos;0.000942507068803016;0.1845856682525694;0.0
2019;FURB;Blumenau;Santa Catarina;Sul;Universidade;Pública Municipal;0.00471253534401508;0.2155868352582312;0.0023637993033219537
2019;UESPI;Piripiri;Piauí;Nordeste;Universidade;Pública Estadual;0.000942507068803016;1.212323682256867;0.0
2019;UNIVILLE;Joinville;Santa Catarina;Sul;Universidade;Privada sem fins lucrativos;0.003770028275212064;0.23066752480684052;0.0062767269182772145
2019;FDPII;Salvador;Bahia;Nordeste;Centro Universitário;Privada com fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;ESNS;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;USCS;São Caetano do Sul;São Paulo;Sudeste;Universidade;Pública Municipal;0.00471253534401508;0.24474421690292025;0.00429393922565117
2019;FGVRS;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.011310084825636193;0.25955644342879225;0.0071077041456582375
2019;FIVJ;Juiz de Fora;Minas Gerais;Sudeste;Faculdade;Privada com fins lucrativos;0.001885014137606032;0.20756528005069314;0.00012159367764408986
2019;UCAM;Rio de Janeiro;Rio de Janeiro;Sudeste;Universidade;Privada sem fins lucrativos;0.010367577756833175;0.307668295061664;0.010550360339967453
2019;MACKENZIE;São Paulo;São Paulo;Sudeste;Universidade;Privada sem fins lucrativos;0.04524033930254477;0.3191835205597774;0.05166202617999961
2019;FCL;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.00471253534401508;0.26305339249821047;0.0004697843035269029
2019;FADEP;Pato Branco;Paraná;Sul;Faculdade;Privada com fins lucrativos;0.001885014137606032;1.212323682256867;1.1034543638861456e-06
2019;Centro Universitário UNIBTA;São Paulo;São Paulo;Sudeste;Centro Universitário;Privada com fins lucrativos;0.001885014137606032;1.212323682256867;1.1034543638861456e-06
2019;DOM BOSCO;Curitiba;Paraná;Sul;Faculdade;Privada sem fins lucrativos;0.000942507068803016;0.25078319876329314;0.0
2019;FSL;Jaboticabal;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.001885014137606032;0.2087919216381603;0.0026968424653377398
2019;CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA;Vitória;Espírito Santo;Sudeste;Centro Universitário;Privada sem fins lucrativos;0.002827521206409048;0.17105293222851933;0.002697945919701626
2019;EEP/FUMEP;Piracicaba;São Paulo;Sudeste;Faculdade;Pública Municipal;0.000942507068803016;0.2237123755589334;0.0
2019;UFRN;Natal;Rio Grande do Norte;Nordeste;Universidade;Pessoa Jurídica de Direito Público - Federal;0.005655042412818096;0.23335181429193352;0.008079492852374357
2019;UVA;Rio de Janeiro;Rio de Janeiro;Sudeste;Universidade;Privada com fins lucrativos;0.002827521206409048;0.23738348857501285;0.0015152621206605435
2019;UFOP;Ouro Preto;Minas Gerais;Sudeste;Universidade;Pública Federal;0.000942507068803016;1.212323682256867;0.0
2019;UEMG;Belo Horizonte;Minas Gerais;Sudeste;Universidade;Pública Estadual;0.000942507068803016;0.21947702811454003;0.0
2019;FGVBA;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.001885014137606032;0.18254203310153835;5.517271819430728e-07
2019;PUC GOIÁS;Goiânia;Goiás;Centro-oeste;Universidade;Privada sem fins lucrativos;0.003770028275212064;0.17558681659950365;0.005380995205490789
2019;FUMEC;Belo Horizonte;Minas Gerais;Sudeste;Universidade;Privada sem fins lucrativos;0.015080113100848256;0.23102665220028104;0.013229528101646997
2019;UNISANTOS;Santos;São Paulo;Sudeste;Universidade;Privada sem fins lucrativos;0.003770028275212064;0.2252746602523767;0.0029145798072233242
2019;UFABC;Santo André;São Paulo;Sudeste;Universidade;Pública Federal;0.00471253534401508;0.2452295797525046;0.003587708262716192
2019;UNINOVE;Mauá;São Paulo;Sudeste;Universidade;Privada sem fins lucrativos;0.007540056550424128;0.25483156226728576;0.0023278132242765554
2019;ESPM;São Paulo;São Paulo;Sudeste;Faculdade;Privada sem fins lucrativos;0.07257304429783223;0.35423351326865726;0.12159271973395026
2019;UNI-FACEF;Franca;São Paulo;Sudeste;Centro Universitário;Especial;0.000942507068803016;1.212323682256867;0.0
2019;ULBRA;Curitiba;Paraná;Sul;Universidade;Privada sem fins lucrativos;0.007540056550424128;0.23976154258885204;0.016358933367216742
2019;TREVISAN;São Paulo;São Paulo;Sudeste;Faculdade;Privada com fins lucrativos;0.000942507068803016;1.212323682256867;0.0
2019;UNIOESTE;Cascavel;Paraná;Sul;Universidade;Pública Estadual;0.000942507068803016;0.8082157881712447;0.0
2019;UFCSPA;Porto Alegre;Rio Grande do Sul;Sul;Universidade;Pública Federal;0.000942507068803016;1.212323682256867;0.0
2019;UFCG;Campina Grande;Paraíba;Nordeste;Universidade;Pública Federal;0.001885014137606032;0.1509700058075496;0.001349524687032756
2019;FGVPA;Rio de Janeiro;Rio de Janeiro;Sudeste;Faculdade;Privada sem fins lucrativos;0.000942507068803016;0.8082157881712447;0.0
2019;FGP;Pederneiras;São Paulo;Sudeste;Faculdade;Privada com fins lucrativos;0.000942507068803016;0.2228388927890682;0.0
