Name;State;Region;Ano;IDHM;"IDHM Educacao";"IDHM Longividade";"IDHM Renda"
"Nova Mamoré";Rondônia;Norte;2000;0.446;0.242;0.650;0.565
"Nova Mamoré";Rondônia;Norte;2010;0.587;0.424;0.769;0.619
"Alvorada D'Oeste";Rondônia;Norte;1991;0.313;0.112;0.598;0.458
"Alvorada D'Oeste";Rondônia;Norte;2000;0.469;0.261;0.669;0.592
"Alvorada D'Oeste";Rondônia;Norte;2010;0.643;0.534;0.763;0.654
"Alto Alegre dos Parecis";Rondônia;Norte;1991;0.241;0.054;0.572;0.451
"Alto Alegre dos Parecis";Rondônia;Norte;2000;0.402;0.178;0.681;0.534
"Alto Alegre dos Parecis";Rondônia;Norte;2010;0.592;0.443;0.777;0.603
"Alto Paraíso";Rondônia;Norte;1991;0.269;0.074;0.578;0.454
"Alto Paraíso";Rondônia;Norte;2000;0.446;0.197;0.693;0.649
"Alto Paraíso";Rondônia;Norte;2010;0.625;0.457;0.804;0.664
Buritis;Rondônia;Norte;1991;0.325;0.113;0.638;0.474
Buritis;Rondônia;Norte;2000;0.415;0.161;0.672;0.660
Buritis;Rondônia;Norte;2010;0.616;0.479;0.751;0.650
"Novo Horizonte do Oeste";Rondônia;Norte;1991;0.199;0.038;0.572;0.362
"Novo Horizonte do Oeste";Rondônia;Norte;2000;0.442;0.202;0.682;0.627
"Novo Horizonte do Oeste";Rondônia;Norte;2010;0.634;0.527;0.799;0.606
Cacaulândia;Rondônia;Norte;1991;0.283;0.079;0.609;0.470
Cacaulândia;Rondônia;Norte;2000;0.454;0.206;0.703;0.647
Cacaulândia;Rondônia;Norte;2010;0.646;0.506;0.801;0.664
"Campo Novo de Rondônia";Rondônia;Norte;1991;0.293;0.085;0.597;0.496
"Campo Novo de Rondônia";Rondônia;Norte;2000;0.432;0.189;0.683;0.623
"Campo Novo de Rondônia";Rondônia;Norte;2010;0.593;0.404;0.772;0.667
"Candeias do Jamari";Rondônia;Norte;1991;0.366;0.143;0.578;0.595
"Candeias do Jamari";Rondônia;Norte;2000;0.478;0.251;0.699;0.622
"Candeias do Jamari";Rondônia;Norte;2010;0.649;0.512;0.819;0.652
Castanheiras;Rondônia;Norte;1991;0.221;0.048;0.572;0.394
Castanheiras;Rondônia;Norte;2000;0.498;0.299;0.703;0.588
Castanheiras;Rondônia;Norte;2010;0.658;0.547;0.803;0.650
Chupinguaia;Rondônia;Norte;1991;0.281;0.068;0.616;0.529
Chupinguaia;Rondônia;Norte;2000;0.479;0.256;0.697;0.616
Chupinguaia;Rondônia;Norte;2010;0.652;0.514;0.820;0.659
Cujubim;Rondônia;Norte;1991;0.237;0.050;0.629;0.425
Cujubim;Rondônia;Norte;2000;0.425;0.176;0.694;0.628
Cujubim;Rondônia;Norte;2010;0.612;0.439;0.789;0.663
"Governador Jorge Teixeira";Rondônia;Norte;1991;0.217;0.039;0.558;0.471
"Governador Jorge Teixeira";Rondônia;Norte;2000;0.380;0.136;0.677;0.594
"Governador Jorge Teixeira";Rondônia;Norte;2010;0.596;0.444;0.762;0.627
"Itapuã do Oeste";Rondônia;Norte;1991;0.349;0.135;0.568;0.552
"Itapuã do Oeste";Rondônia;Norte;2000;0.478;0.260;0.669;0.629
"Itapuã do Oeste";Rondônia;Norte;2010;0.614;0.488;0.751;0.633
"Ministro Andreazza";Rondônia;Norte;1991;0.277;0.061;0.638;0.546
"Ministro Andreazza";Rondônia;Norte;2000;0.467;0.236;0.694;0.623
"Ministro Andreazza";Rondônia;Norte;2010;0.638;0.518;0.776;0.647
"Mirante da Serra";Rondônia;Norte;1991;0.254;0.055;0.647;0.459
"Mirante da Serra";Rondônia;Norte;2000;0.470;0.244;0.697;0.610
"Mirante da Serra";Rondônia;Norte;2010;0.643;0.494;0.800;0.673
"Monte Negro";Rondônia;Norte;1991;0.270;0.062;0.609;0.520
"Monte Negro";Rondônia;Norte;2000;0.435;0.201;0.680;0.603
"Monte Negro";Rondônia;Norte;2010;0.607;0.454;0.762;0.645
"Nova União";Rondônia;Norte;1991;0.228;0.047;0.591;0.427
"Nova União";Rondônia;Norte;2000;0.405;0.178;0.681;0.549
"Nova União";Rondônia;Norte;2010;0.587;0.442;0.753;0.608
Parecis;Rondônia;Norte;1991;0.174;0.018;0.629;0.463
Parecis;Rondônia;Norte;2000;0.412;0.202;0.686;0.505
Parecis;Rondônia;Norte;2010;0.617;0.485;0.800;0.604
"Pimenteiras do Oeste";Rondônia;Norte;1991;0.280;0.072;0.658;0.463
"Pimenteiras do Oeste";Rondônia;Norte;2000;0.524;0.382;0.710;0.530
"Pimenteiras do Oeste";Rondônia;Norte;2010;0.665;0.545;0.816;0.662
"Primavera de Rondônia";Rondônia;Norte;1991;0.284;0.082;0.629;0.446
"Primavera de Rondônia";Rondônia;Norte;2000;0.439;0.227;0.686;0.543
"Primavera de Rondônia";Rondônia;Norte;2010;0.641;0.512;0.799;0.645
"São Felipe D'Oeste";Rondônia;Norte;1991;0.232;0.047;0.629;0.425
"São Felipe D'Oeste";Rondônia;Norte;2000;0.466;0.260;0.694;0.562
"São Felipe D'Oeste";Rondônia;Norte;2010;0.649;0.571;0.780;0.615
"São Francisco do Guaporé";Rondônia;Norte;1991;0.298;0.086;0.647;0.476
"São Francisco do Guaporé";Rondônia;Norte;2000;0.434;0.181;0.698;0.648
"São Francisco do Guaporé";Rondônia;Norte;2010;0.611;0.462;0.751;0.657
Seringueiras;Rondônia;Norte;1991;0.258;0.061;0.622;0.455
Seringueiras;Rondônia;Norte;2000;0.439;0.214;0.673;0.587
Seringueiras;Rondônia;Norte;2010;0.598;0.427;0.779;0.644
Teixeirópolis;Rondônia;Norte;1991;0.226;0.038;0.653;0.466
Teixeirópolis;Rondônia;Norte;2000;0.440;0.216;0.693;0.571
Teixeirópolis;Rondônia;Norte;2010;0.643;0.498;0.818;0.653
Theobroma;Rondônia;Norte;1991;0.247;0.052;0.636;0.454
Theobroma;Rondônia;Norte;2000;0.402;0.181;0.664;0.540
Theobroma;Rondônia;Norte;2010;0.589;0.434;0.757;0.622
Urupá;Rondônia;Norte;1991;0.230;0.037;0.647;0.506
Urupá;Rondônia;Norte;2000;0.424;0.203;0.677;0.556
Urupá;Rondônia;Norte;2010;0.609;0.471;0.772;0.621
"Vale do Anari";Rondônia;Norte;1991;0.216;0.042;0.583;0.412
"Vale do Anari";Rondônia;Norte;2000;0.409;0.161;0.660;0.644
"Vale do Anari";Rondônia;Norte;2010;0.584;0.421;0.756;0.626
"Vale do Paraíso";Rondônia;Norte;1991;0.247;0.053;0.647;0.442
"Vale do Paraíso";Rondônia;Norte;2000;0.438;0.200;0.698;0.600
"Vale do Paraíso";Rondônia;Norte;2010;0.627;0.485;0.792;0.641
Acrelândia;Acre;Norte;1991;0.247;0.043;0.652;0.535
Acrelândia;Acre;Norte;2000;0.451;0.224;0.723;0.565
Acrelândia;Acre;Norte;2010;0.604;0.466;0.808;0.584
"Assis Brasil";Acre;Norte;1991;0.314;0.096;0.646;0.499
"Assis Brasil";Acre;Norte;2000;0.425;0.209;0.711;0.517
"Assis Brasil";Acre;Norte;2010;0.588;0.456;0.770;0.578
Brasiléia;Acre;Norte;1991;0.336;0.123;0.622;0.497
Brasiléia;Acre;Norte;2000;0.476;0.273;0.693;0.570
Brasiléia;Acre;Norte;2010;0.614;0.485;0.770;0.619
Bujari;Acre;Norte;1991;0.267;0.055;0.677;0.513
Bujari;Acre;Norte;2000;0.460;0.252;0.707;0.546
Bujari;Acre;Norte;2010;0.589;0.439;0.772;0.603
Capixaba;Acre;Norte;1991;0.183;0.020;0.596;0.514
Capixaba;Acre;Norte;2000;0.365;0.133;0.682;0.538
Capixaba;Acre;Norte;2010;0.575;0.398;0.794;0.601
"Cruzeiro do Sul";Acre;Norte;1991;0.398;0.188;0.652;0.513
"Cruzeiro do Sul";Acre;Norte;2000;0.510;0.327;0.721;0.564
"Cruzeiro do Sul";Acre;Norte;2010;0.664;0.582;0.776;0.648
Epitaciolândia;Acre;Norte;1991;0.372;0.148;0.643;0.540
Epitaciolândia;Acre;Norte;2000;0.474;0.267;0.701;0.569
Epitaciolândia;Acre;Norte;2010;0.653;0.553;0.771;0.654
Feijó;Acre;Norte;1991;0.258;0.064;0.584;0.459
Feijó;Acre;Norte;2000;0.323;0.121;0.644;0.431
Feijó;Acre;Norte;2010;0.539;0.388;0.723;0.559
Jordão;Acre;Norte;1991;0.170;0.024;0.611;0.333
Jordão;Acre;Norte;2000;0.222;0.052;0.637;0.331
Jordão;Acre;Norte;2010;0.469;0.283;0.731;0.499
"Mâncio Lima";Acre;Norte;1991;0.298;0.099;0.622;0.429
"Mâncio Lima";Acre;Norte;2000;0.456;0.285;0.682;0.489
"Mâncio Lima";Acre;Norte;2010;0.625;0.546;0.770;0.580
"Manoel Urbano";Acre;Norte;1991;0.218;0.038;0.643;0.423
"Manoel Urbano";Acre;Norte;2000;0.395;0.176;0.693;0.505
"Manoel Urbano";Acre;Norte;2010;0.551;0.373;0.767;0.586
"Marechal Thaumaturgo";Acre;Norte;1991;0.186;0.030;0.596;0.361
"Marechal Thaumaturgo";Acre;Norte;2000;0.301;0.108;0.637;0.395
"Marechal Thaumaturgo";Acre;Norte;2010;0.501;0.361;0.726;0.479
"Plácido de Castro";Acre;Norte;1991;0.265;0.061;0.649;0.469
"Plácido de Castro";Acre;Norte;2000;0.464;0.257;0.721;0.539
"Plácido de Castro";Acre;Norte;2010;0.622;0.517;0.786;0.593
"Porto Walter";Acre;Norte;1991;0.176;0.026;0.596;0.354
"Porto Walter";Acre;Norte;2000;0.342;0.138;0.637;0.454
