Name;State;Region;Ano;IDHM;"IDHM Educacao";"IDHM Longividade";"IDHM Renda"
"Monte Alegre do Piauí";Piauí;Nordeste;1991;0.300;0.108;0.574;0.436
"Monte Alegre do Piauí";Piauí;Nordeste;2000;0.387;0.206;0.635;0.444
"Monte Alegre do Piauí";Piauí;Nordeste;2010;0.578;0.474;0.768;0.531
"Morro Cabeça no Tempo";Piauí;Nordeste;1991;0.213;0.058;0.518;0.320
"Morro Cabeça no Tempo";Piauí;Nordeste;2000;0.317;0.134;0.644;0.369
"Morro Cabeça no Tempo";Piauí;Nordeste;2010;0.542;0.435;0.774;0.472
"Morro do Chapéu do Piauí";Piauí;Nordeste;1991;0.173;0.030;0.496;0.345
"Morro do Chapéu do Piauí";Piauí;Nordeste;2000;0.297;0.113;0.612;0.378
"Morro do Chapéu do Piauí";Piauí;Nordeste;2010;0.550;0.418;0.742;0.536
"Murici dos Portelas";Piauí;Nordeste;1991;0.179;0.031;0.565;0.325
"Murici dos Portelas";Piauí;Nordeste;2000;0.312;0.111;0.651;0.422
"Murici dos Portelas";Piauí;Nordeste;2010;0.530;0.391;0.777;0.489
"Nazaré do Piauí";Piauí;Nordeste;1991;0.268;0.092;0.587;0.355
"Nazaré do Piauí";Piauí;Nordeste;2000;0.380;0.210;0.618;0.424
"Nazaré do Piauí";Piauí;Nordeste;2010;0.576;0.510;0.707;0.531
"Nossa Senhora de Nazaré";Piauí;Nordeste;1991;0.256;0.077;0.560;0.388
"Nossa Senhora de Nazaré";Piauí;Nordeste;2000;0.373;0.197;0.648;0.407
"Nossa Senhora de Nazaré";Piauí;Nordeste;2010;0.586;0.462;0.780;0.557
"Nossa Senhora dos Remédios";Piauí;Nordeste;1991;0.249;0.092;0.496;0.338
"Nossa Senhora dos Remédios";Piauí;Nordeste;2000;0.370;0.192;0.621;0.424
"Nossa Senhora dos Remédios";Piauí;Nordeste;2010;0.533;0.411;0.732;0.503
"Novo Oriente do Piauí";Piauí;Nordeste;1991;0.277;0.097;0.570;0.385
"Novo Oriente do Piauí";Piauí;Nordeste;2000;0.390;0.190;0.647;0.483
"Novo Oriente do Piauí";Piauí;Nordeste;2010;0.562;0.418;0.775;0.547
"Novo Santo Antônio";Piauí;Nordeste;1991;0.179;0.035;0.493;0.331
"Novo Santo Antônio";Piauí;Nordeste;2000;0.246;0.074;0.564;0.355
"Novo Santo Antônio";Piauí;Nordeste;2010;0.528;0.392;0.702;0.536
Oeiras;Piauí;Nordeste;1991;0.328;0.129;0.595;0.458
Oeiras;Piauí;Nordeste;2000;0.445;0.266;0.626;0.530
Oeiras;Piauí;Nordeste;2010;0.634;0.547;0.753;0.619
"Olho D'Água do Piauí";Piauí;Nordeste;1991;0.292;0.115;0.594;0.365
"Olho D'Água do Piauí";Piauí;Nordeste;2000;0.398;0.238;0.635;0.418
"Olho D'Água do Piauí";Piauí;Nordeste;2010;0.576;0.477;0.746;0.537
"Padre Marcos";Piauí;Nordeste;1991;0.251;0.090;0.440;0.400
"Padre Marcos";Piauí;Nordeste;2000;0.352;0.173;0.574;0.440
"Padre Marcos";Piauí;Nordeste;2010;0.541;0.427;0.699;0.531
"Paes Landim";Piauí;Nordeste;1991;0.299;0.119;0.595;0.377
"Paes Landim";Piauí;Nordeste;2000;0.450;0.330;0.619;0.447
"Paes Landim";Piauí;Nordeste;2010;0.575;0.492;0.721;0.537
"Pajeú do Piauí";Piauí;Nordeste;1991;0.189;0.041;0.584;0.282
"Pajeú do Piauí";Piauí;Nordeste;2000;0.383;0.165;0.687;0.495
"Pajeú do Piauí";Piauí;Nordeste;2010;0.559;0.427;0.732;0.560
"Palmeira do Piauí";Piauí;Nordeste;1991;0.279;0.102;0.605;0.352
"Palmeira do Piauí";Piauí;Nordeste;2000;0.428;0.250;0.648;0.485
"Palmeira do Piauí";Piauí;Nordeste;2010;0.557;0.431;0.704;0.570
Palmeirais;Piauí;Nordeste;1991;0.234;0.067;0.594;0.323
Palmeirais;Piauí;Nordeste;2000;0.370;0.176;0.658;0.439
Palmeirais;Piauí;Nordeste;2010;0.562;0.443;0.776;0.515
Paquetá;Piauí;Nordeste;1991;0.197;0.042;0.513;0.355
Paquetá;Piauí;Nordeste;2000;0.284;0.092;0.612;0.406
Paquetá;Piauí;Nordeste;2010;0.509;0.348;0.731;0.519
Parnaguá;Piauí;Nordeste;1991;0.295;0.119;0.548;0.392
Parnaguá;Piauí;Nordeste;2000;0.362;0.162;0.648;0.453
Parnaguá;Piauí;Nordeste;2010;0.575;0.464;0.777;0.526
Parnaíba;Piauí;Nordeste;1991;0.414;0.229;0.599;0.517
Parnaíba;Piauí;Nordeste;2000;0.546;0.381;0.709;0.603
Parnaíba;Piauí;Nordeste;2010;0.687;0.604;0.816;0.658
"Passagem Franca do Piauí";Piauí;Nordeste;1991;0.199;0.044;0.540;0.331
"Passagem Franca do Piauí";Piauí;Nordeste;2000;0.376;0.189;0.644;0.437
"Passagem Franca do Piauí";Piauí;Nordeste;2010;0.561;0.393;0.758;0.594
"Patos do Piauí";Piauí;Nordeste;1991;0.181;0.025;0.594;0.397
"Patos do Piauí";Piauí;Nordeste;2000;0.364;0.164;0.635;0.462
"Patos do Piauí";Piauí;Nordeste;2010;0.563;0.448;0.755;0.529
"Pau D'Arco do Piauí";Piauí;Nordeste;1991;0.175;0.031;0.509;0.340
"Pau D'Arco do Piauí";Piauí;Nordeste;2000;0.282;0.101;0.632;0.353
"Pau D'Arco do Piauí";Piauí;Nordeste;2010;0.514;0.376;0.742;0.488
Paulistana;Piauí;Nordeste;1991;0.283;0.098;0.553;0.418
Paulistana;Piauí;Nordeste;2000;0.396;0.201;0.642;0.483
Paulistana;Piauí;Nordeste;2010;0.600;0.472;0.767;0.596
Pavussu;Piauí;Nordeste;1991;0.261;0.073;0.583;0.417
Pavussu;Piauí;Nordeste;2000;0.333;0.138;0.618;0.433
Pavussu;Piauí;Nordeste;2010;0.526;0.379;0.748;0.512
"Pedro II";Piauí;Nordeste;1991;0.291;0.101;0.625;0.389
"Pedro II";Piauí;Nordeste;2000;0.385;0.188;0.684;0.444
"Pedro II";Piauí;Nordeste;2010;0.571;0.428;0.767;0.566
"Pedro Laurentino";Piauí;Nordeste;1991;0.198;0.046;0.558;0.301
"Pedro Laurentino";Piauí;Nordeste;2000;0.325;0.133;0.632;0.407
"Pedro Laurentino";Piauí;Nordeste;2010;0.562;0.496;0.746;0.479
"Nova Santa Rita";Piauí;Nordeste;1991;0.157;0.024;0.487;0.332
"Nova Santa Rita";Piauí;Nordeste;2000;0.321;0.133;0.630;0.395
"Nova Santa Rita";Piauí;Nordeste;2010;0.554;0.425;0.770;0.520
Picos;Piauí;Nordeste;1991;0.427;0.225;0.627;0.550
Picos;Piauí;Nordeste;2000;0.545;0.370;0.718;0.610
Picos;Piauí;Nordeste;2010;0.698;0.621;0.800;0.684
Pimenteiras;Piauí;Nordeste;1991;0.289;0.101;0.600;0.400
Pimenteiras;Piauí;Nordeste;2000;0.376;0.187;0.665;0.428
Pimenteiras;Piauí;Nordeste;2010;0.566;0.423;0.774;0.553
"Pio IX";Piauí;Nordeste;1991;0.271;0.088;0.583;0.388
"Pio IX";Piauí;Nordeste;2000;0.367;0.168;0.618;0.476
"Pio IX";Piauí;Nordeste;2010;0.564;0.440;0.758;0.538
Piracuruca;Piauí;Nordeste;1991;0.338;0.143;0.591;0.457
Piracuruca;Piauí;Nordeste;2000;0.431;0.247;0.691;0.469
Piracuruca;Piauí;Nordeste;2010;0.596;0.478;0.770;0.575
Piripiri;Piauí;Nordeste;1991;0.357;0.161;0.627;0.452
Piripiri;Piauí;Nordeste;2000;0.455;0.267;0.669;0.527
Piripiri;Piauí;Nordeste;2010;0.635;0.533;0.775;0.621
Porto;Piauí;Nordeste;1991;0.282;0.121;0.496;0.372
Porto;Piauí;Nordeste;2000;0.374;0.201;0.619;0.421
Porto;Piauí;Nordeste;2010;0.549;0.406;0.758;0.537
"Porto Alegre do Piauí";Piauí;Nordeste;1991;0.264;0.093;0.565;0.351
"Porto Alegre do Piauí";Piauí;Nordeste;2000;0.374;0.185;0.663;0.427
"Porto Alegre do Piauí";Piauí;Nordeste;2010;0.563;0.452;0.732;0.539
"Prata do Piauí";Piauí;Nordeste;1991;0.321;0.144;0.600;0.384
"Prata do Piauí";Piauí;Nordeste;2000;0.418;0.237;0.673;0.457
"Prata do Piauí";Piauí;Nordeste;2010;0.565;0.448;0.764;0.527
"Queimada Nova";Piauí;Nordeste;1991;0.182;0.035;0.474;0.363
"Queimada Nova";Piauí;Nordeste;2000;0.280;0.092;0.619;0.387
"Queimada Nova";Piauí;Nordeste;2010;0.515;0.368;0.758;0.490
"Redenção do Gurguéia";Piauí;Nordeste;1991;0.282;0.121;0.510;0.365
"Redenção do Gurguéia";Piauí;Nordeste;2000;0.402;0.231;0.637;0.440
"Redenção do Gurguéia";Piauí;Nordeste;2010;0.589;0.478;0.766;0.557
Regeneração;Piauí;Nordeste;1991;0.322;0.138;0.581;0.415
Regeneração;Piauí;Nordeste;2000;0.430;0.242;0.693;0.474
Regeneração;Piauí;Nordeste;2010;0.591;0.498;0.714;0.582
"Riacho Frio";Piauí;Nordeste;1991;0.207;0.050;0.548;0.322
"Riacho Frio";Piauí;Nordeste;2000;0.395;0.210;0.626;0.470
"Riacho Frio";Piauí;Nordeste;2010;0.541;0.431;0.761;0.483
"Ribeira do Piauí";Piauí;Nordeste;1991;0.143;0.018;0.496;0.326
"Ribeira do Piauí";Piauí;Nordeste;2000;0.285;0.097;0.637;0.374
"Ribeira do Piauí";Piauí;Nordeste;2010;0.520;0.368;0.758;0.505
"Ribeiro Gonçalves";Piauí;Nordeste;1991;0.333;0.142;0.618;0.422
"Ribeiro Gonçalves";Piauí;Nordeste;2000;0.439;0.234;0.665;0.544
"Ribeiro Gonçalves";Piauí;Nordeste;2010;0.601;0.485;0.787;0.568
"Rio Grande do Piauí";Piauí;Nordeste;1991;0.314;0.117;0.617;0.428
"Rio Grande do Piauí";Piauí;Nordeste;2000;0.414;0.215;0.687;0.482
"Rio Grande do Piauí";Piauí;Nordeste;2010;0.572;0.442;0.767;0.552
"Santa Cruz do Piauí";Piauí;Nordeste;1991;0.257;0.082;0.549;0.379
"Santa Cruz do Piauí";Piauí;Nordeste;2000;0.445;0.273;0.632;0.512
"Santa Cruz do Piauí";Piauí;Nordeste;2010;0.601;0.530;0.720;0.570
"Santa Cruz dos Milagres";Piauí;Nordeste;1991;0.182;0.035;0.570;0.304
"Santa Cruz dos Milagres";Piauí;Nordeste;2000;0.392;0.227;0.619;0.428
"Santa Cruz dos Milagres";Piauí;Nordeste;2010;0.577;0.509;0.719;0.524
"Santa Filomena";Piauí;Nordeste;1991;0.281;0.087;0.618;0.413
"Santa Filomena";Piauí;Nordeste;2000;0.393;0.185;0.690;0.477
"Santa Filomena";Piauí;Nordeste;2010;0.544;0.385;0.789;0.530
"Santa Luz";Piauí;Nordeste;1991;0.328;0.165;0.574;0.374
"Santa Luz";Piauí;Nordeste;2000;0.414;0.242;0.673;0.436
"Santa Luz";Piauí;Nordeste;2010;0.588;0.490;0.768;0.539
"Santana do Piauí";Piauí;Nordeste;1991;0.235;0.051;0.595;0.427
"Santana do Piauí";Piauí;Nordeste;2000;0.351;0.157;0.632;0.435
"Santana do Piauí";Piauí;Nordeste;2010;0.574;0.476;0.736;0.539
"Santa Rosa do Piauí";Piauí;Nordeste;1991;0.202;0.045;0.523;0.348
"Santa Rosa do Piauí";Piauí;Nordeste;2000;0.352;0.169;0.556;0.464
"Santa Rosa do Piauí";Piauí;Nordeste;2010;0.567;0.483;0.699;0.539
"Santo Antônio de Lisboa";Piauí;Nordeste;1991;0.356;0.163;0.535;0.518
"Santo Antônio de Lisboa";Piauí;Nordeste;2000;0.443;0.266;0.606;0.541
"Santo Antônio de Lisboa";Piauí;Nordeste;2010;0.584;0.473;0.704;0.597
"Santo Antônio dos Milagres";Piauí;Nordeste;1991;0.324;0.175;0.528;0.368
"Santo Antônio dos Milagres";Piauí;Nordeste;2000;0.444;0.334;0.648;0.405
"Santo Antônio dos Milagres";Piauí;Nordeste;2010;0.619;0.582;0.776;0.524
"Santo Inácio do Piauí";Piauí;Nordeste;1991;0.270;0.086;0.575;0.398
"Santo Inácio do Piauí";Piauí;Nordeste;2000;0.427;0.225;0.690;0.503
"Santo Inácio do Piauí";Piauí;Nordeste;2010;0.613;0.546;0.776;0.543
"São Braz do Piauí";Piauí;Nordeste;1991;0.250;0.078;0.558;0.360
"São Braz do Piauí";Piauí;Nordeste;2000;0.350;0.153;0.630;0.445
"São Braz do Piauí";Piauí;Nordeste;2010;0.596;0.514;0.771;0.533
"São Félix do Piauí";Piauí;Nordeste;1991;0.354;0.182;0.624;0.391
"São Félix do Piauí";Piauí;Nordeste;2000;0.481;0.338;0.679;0.485
"São Félix do Piauí";Piauí;Nordeste;2010;0.610;0.520;0.742;0.587
"São Francisco de Assis do Piauí";Piauí;Nordeste;1991;0.143;0.020;0.474;0.308
"São Francisco de Assis do Piauí";Piauí;Nordeste;2000;0.241;0.060;0.616;0.379
"São Francisco de Assis do Piauí";Piauí;Nordeste;2010;0.485;0.336;0.734;0.462
"São Francisco do Piauí";Piauí;Nordeste;1991;0.233;0.092;0.468;0.295
"São Francisco do Piauí";Piauí;Nordeste;2000;0.348;0.166;0.612;0.415
"São Francisco do Piauí";Piauí;Nordeste;2010;0.570;0.448;0.744;0.557
"São Gonçalo do Gurguéia";Piauí;Nordeste;1991;0.229;0.063;0.510;0.376
"São Gonçalo do Gurguéia";Piauí;Nordeste;2000;0.384;0.201;0.630;0.447
"São Gonçalo do Gurguéia";Piauí;Nordeste;2010;0.560;0.438;0.701;0.572
"São Gonçalo do Piauí";Piauí;Nordeste;1991;0.388;0.201;0.627;0.463
"São Gonçalo do Piauí";Piauí;Nordeste;2000;0.502;0.406;0.695;0.449
"São Gonçalo do Piauí";Piauí;Nordeste;2010;0.616;0.588;0.739;0.538
"São João da Canabrava";Piauí;Nordeste;1991;0.250;0.073;0.549;0.392
"São João da Canabrava";Piauí;Nordeste;2000;0.366;0.193;0.581;0.436
"São João da Canabrava";Piauí;Nordeste;2010;0.559;0.446;0.726;0.539
"São João da Fronteira";Piauí;Nordeste;1991;0.165;0.021;0.571;0.378
"São João da Fronteira";Piauí;Nordeste;2000;0.359;0.158;0.621;0.473
"São João da Fronteira";Piauí;Nordeste;2010;0.515;0.351;0.753;0.516
"São João da Serra";Piauí;Nordeste;1991;0.226;0.067;0.540;0.318
"São João da Serra";Piauí;Nordeste;2000;0.364;0.186;0.630;0.413
"São João da Serra";Piauí;Nordeste;2010;0.582;0.478;0.757;0.545
"São João da Varjota";Piauí;Nordeste;1991;0.241;0.065;0.594;0.363
"São João da Varjota";Piauí;Nordeste;2000;0.368;0.179;0.632;0.441
"São João da Varjota";Piauí;Nordeste;2010;0.559;0.460;0.708;0.536
"São João do Arraial";Piauí;Nordeste;1991;0.180;0.037;0.506;0.310
"São João do Arraial";Piauí;Nordeste;2000;0.357;0.179;0.592;0.429
"São João do Arraial";Piauí;Nordeste;2010;0.523;0.401;0.720;0.496
"São João do Piauí";Piauí;Nordeste;1991;0.345;0.150;0.587;0.466
"São João do Piauí";Piauí;Nordeste;2000;0.451;0.271;0.637;0.532
"São João do Piauí";Piauí;Nordeste;2010;0.645;0.567;0.769;0.615
"São José do Divino";Piauí;Nordeste;1991;0.156;0.021;0.528;0.344
"São José do Divino";Piauí;Nordeste;2000;0.363;0.178;0.648;0.413
"São José do Divino";Piauí;Nordeste;2010;0.565;0.440;0.775;0.529
"São José do Peixe";Piauí;Nordeste;1991;0.305;0.120;0.608;0.390
"São José do Peixe";Piauí;Nordeste;2000;0.408;0.229;0.645;0.460
"São José do Peixe";Piauí;Nordeste;2010;0.573;0.449;0.766;0.548
"São José do Piauí";Piauí;Nordeste;1991;0.286;0.100;0.582;0.402
"São José do Piauí";Piauí;Nordeste;2000;0.357;0.169;0.632;0.427
"São José do Piauí";Piauí;Nordeste;2010;0.552;0.423;0.700;0.569
"São Julião";Piauí;Nordeste;1991;0.300;0.113;0.540;0.444
"São Julião";Piauí;Nordeste;2000;0.436;0.250;0.654;0.507
"São Julião";Piauí;Nordeste;2010;0.594;0.455;0.775;0.593
"São Lourenço do Piauí";Piauí;Nordeste;1991;0.258;0.068;0.606;0.415
"São Lourenço do Piauí";Piauí;Nordeste;2000;0.399;0.230;0.630;0.439
"São Lourenço do Piauí";Piauí;Nordeste;2010;0.595;0.499;0.753;0.560
"São Luis do Piauí";Piauí;Nordeste;1991;0.152;0.020;0.523;0.337
"São Luis do Piauí";Piauí;Nordeste;2000;0.390;0.220;0.621;0.433
"São Luis do Piauí";Piauí;Nordeste;2010;0.554;0.433;0.757;0.520
"São Miguel da Baixa Grande";Piauí;Nordeste;1991;0.285;0.103;0.591;0.382
"São Miguel da Baixa Grande";Piauí;Nordeste;2000;0.342;0.152;0.637;0.412
"São Miguel da Baixa Grande";Piauí;Nordeste;2010;0.563;0.413;0.774;0.557
"São Miguel do Fidalgo";Piauí;Nordeste;1991;0.199;0.047;0.519;0.323
"São Miguel do Fidalgo";Piauí;Nordeste;2000;0.348;0.184;0.645;0.355
"São Miguel do Fidalgo";Piauí;Nordeste;2010;0.535;0.407;0.747;0.505
"São Miguel do Tapuio";Piauí;Nordeste;1991;0.228;0.063;0.540;0.349
"São Miguel do Tapuio";Piauí;Nordeste;2000;0.342;0.144;0.651;0.426
"São Miguel do Tapuio";Piauí;Nordeste;2010;0.556;0.434;0.780;0.508
"São Pedro do Piauí";Piauí;Nordeste;1991;0.339;0.154;0.627;0.404
"São Pedro do Piauí";Piauí;Nordeste;2000;0.437;0.258;0.689;0.470
"São Pedro do Piauí";Piauí;Nordeste;2010;0.595;0.492;0.776;0.553
"São Raimundo Nonato";Piauí;Nordeste;1991;0.394;0.185;0.671;0.492
"São Raimundo Nonato";Piauí;Nordeste;2000;0.497;0.322;0.706;0.541
"São Raimundo Nonato";Piauí;Nordeste;2010;0.661;0.587;0.779;0.631
"Sebastião Barros";Piauí;Nordeste;1991;0.199;0.051;0.548;0.281
"Sebastião Barros";Piauí;Nordeste;2000;0.338;0.150;0.637;0.403
"Sebastião Barros";Piauí;Nordeste;2010;0.536;0.394;0.770;0.508
"Sebastião Leal";Piauí;Nordeste;1991;0.219;0.068;0.565;0.272
"Sebastião Leal";Piauí;Nordeste;2000;0.369;0.171;0.690;0.425
"Sebastião Leal";Piauí;Nordeste;2010;0.562;0.467;0.736;0.516
"Sigefredo Pacheco";Piauí;Nordeste;1991;0.241;0.060;0.592;0.396
"Sigefredo Pacheco";Piauí;Nordeste;2000;0.356;0.170;0.656;0.403
"Sigefredo Pacheco";Piauí;Nordeste;2010;0.581;0.496;0.764;0.518
Simões;Piauí;Nordeste;1991;0.273;0.082;0.563;0.443
Simões;Piauí;Nordeste;2000;0.371;0.179;0.635;0.451
Simões;Piauí;Nordeste;2010;0.575;0.440;0.771;0.560
"Simplício Mendes";Piauí;Nordeste;1991;0.341;0.130;0.626;0.489
"Simplício Mendes";Piauí;Nordeste;2000;0.473;0.276;0.695;0.552
"Simplício Mendes";Piauí;Nordeste;2010;0.627;0.525;0.767;0.613
"Socorro do Piauí";Piauí;Nordeste;1991;0.270;0.091;0.539;0.401
"Socorro do Piauí";Piauí;Nordeste;2000;0.344;0.164;0.604;0.412
"Socorro do Piauí";Piauí;Nordeste;2010;0.561;0.465;0.739;0.513
Sussuapara;Piauí;Nordeste;1991;0.196;0.031;0.582;0.415
Sussuapara;Piauí;Nordeste;2000;0.390;0.208;0.610;0.467
Sussuapara;Piauí;Nordeste;2010;0.586;0.476;0.749;0.563
"Tamboril do Piauí";Piauí;Nordeste;1991;0.154;0.022;0.493;0.335
"Tamboril do Piauí";Piauí;Nordeste;2000;0.316;0.118;0.595;0.448
"Tamboril do Piauí";Piauí;Nordeste;2010;0.501;0.360;0.685;0.509
"Tanque do Piauí";Piauí;Nordeste;1991;0.303;0.126;0.549;0.401
"Tanque do Piauí";Piauí;Nordeste;2000;0.376;0.205;0.606;0.429
"Tanque do Piauí";Piauí;Nordeste;2010;0.579;0.499;0.704;0.553
Teresina;Piauí;Nordeste;1991;0.509;0.308;0.708;0.606
Teresina;Piauí;Nordeste;2000;0.620;0.488;0.734;0.664
Teresina;Piauí;Nordeste;2010;0.751;0.707;0.820;0.731
União;Piauí;Nordeste;1991;0.299;0.110;0.594;0.408
União;Piauí;Nordeste;2000;0.397;0.211;0.666;0.444
União;Piauí;Nordeste;2010;0.577;0.453;0.781;0.542
Uruçuí;Piauí;Nordeste;1991;0.294;0.097;0.592;0.441
Uruçuí;Piauí;Nordeste;2000;0.432;0.236;0.687;0.498
Uruçuí;Piauí;Nordeste;2010;0.631;0.516;0.794;0.614
"Valença do Piauí";Piauí;Nordeste;1991;0.394;0.211;0.591;0.492
"Valença do Piauí";Piauí;Nordeste;2000;0.496;0.315;0.684;0.568
"Valença do Piauí";Piauí;Nordeste;2010;0.647;0.566;0.773;0.620
"Várzea Branca";Piauí;Nordeste;1991;0.168;0.028;0.493;0.343
"Várzea Branca";Piauí;Nordeste;2000;0.318;0.133;0.604;0.401
"Várzea Branca";Piauí;Nordeste;2010;0.553;0.440;0.743;0.518
"Várzea Grande";Piauí;Nordeste;1991;0.318;0.141;0.564;0.405
"Várzea Grande";Piauí;Nordeste;2000;0.421;0.234;0.648;0.492
"Várzea Grande";Piauí;Nordeste;2010;0.571;0.474;0.708;0.554
"Vera Mendes";Piauí;Nordeste;1991;0.189;0.047;0.477;0.299
"Vera Mendes";Piauí;Nordeste;2000;0.358;0.196;0.561;0.418
"Vera Mendes";Piauí;Nordeste;2010;0.503;0.375;0.685;0.494
"Vila Nova do Piauí";Piauí;Nordeste;1991;0.150;0.018;0.470;0.397
"Vila Nova do Piauí";Piauí;Nordeste;2000;0.357;0.172;0.591;0.447
"Vila Nova do Piauí";Piauí;Nordeste;2010;0.565;0.471;0.685;0.559
"Wall Ferraz";Piauí;Nordeste;1991;0.130;0.016;0.493;0.277
"Wall Ferraz";Piauí;Nordeste;2000;0.282;0.090;0.568;0.437
"Wall Ferraz";Piauí;Nordeste;2010;0.544;0.443;0.708;0.513
Abaiara;Ceará;Nordeste;1991;0.286;0.103;0.600;0.377
Abaiara;Ceará;Nordeste;2000;0.452;0.283;0.703;0.464
Abaiara;Ceará;Nordeste;2010;0.628;0.612;0.748;0.540
Acarape;Ceará;Nordeste;1991;0.349;0.179;0.537;0.443
Acarape;Ceará;Nordeste;2000;0.490;0.383;0.632;0.485
Acarape;Ceará;Nordeste;2010;0.606;0.562;0.709;0.559
Acaraú;Ceará;Nordeste;1991;0.277;0.089;0.534;0.449
Acaraú;Ceará;Nordeste;2000;0.415;0.220;0.671;0.483
Acaraú;Ceará;Nordeste;2010;0.601;0.517;0.758;0.554
Acopiara;Ceará;Nordeste;1991;0.254;0.077;0.514;0.413
Acopiara;Ceará;Nordeste;2000;0.412;0.220;0.637;0.498
Acopiara;Ceará;Nordeste;2010;0.595;0.517;0.724;0.563
Aiuaba;Ceará;Nordeste;1991;0.256;0.081;0.574;0.360
Aiuaba;Ceará;Nordeste;2000;0.365;0.196;0.616;0.404
Aiuaba;Ceará;Nordeste;2010;0.569;0.474;0.749;0.518
Alcântaras;Ceará;Nordeste;1991;0.285;0.122;0.490;0.386
Alcântaras;Ceará;Nordeste;2000;0.422;0.262;0.630;0.456
Alcântaras;Ceará;Nordeste;2010;0.600;0.524;0.751;0.549
Altaneira;Ceará;Nordeste;1991;0.288;0.122;0.512;0.381
Altaneira;Ceará;Nordeste;2000;0.417;0.228;0.647;0.490
Altaneira;Ceará;Nordeste;2010;0.602;0.515;0.774;0.547
"Alto Santo";Ceará;Nordeste;1991;0.304;0.097;0.661;0.438
"Alto Santo";Ceará;Nordeste;2000;0.438;0.229;0.727;0.506
"Alto Santo";Ceará;Nordeste;2010;0.601;0.499;0.774;0.563
Amontada;Ceará;Nordeste;1991;0.241;0.062;0.619;0.366
Amontada;Ceará;Nordeste;2000;0.423;0.259;0.665;0.441
Amontada;Ceará;Nordeste;2010;0.606;0.582;0.761;0.503
"Antonina do Norte";Ceará;Nordeste;1991;0.309;0.129;0.561;0.409
"Antonina do Norte";Ceará;Nordeste;2000;0.431;0.241;0.690;0.480
"Antonina do Norte";Ceará;Nordeste;2010;0.599;0.506;0.772;0.550
Apuiarés;Ceará;Nordeste;1991;0.274;0.104;0.522;0.378
Apuiarés;Ceará;Nordeste;2000;0.431;0.276;0.662;0.437
Apuiarés;Ceará;Nordeste;2010;0.618;0.593;0.741;0.536
Aquiraz;Ceará;Nordeste;1991;0.327;0.126;0.590;0.469
Aquiraz;Ceará;Nordeste;2000;0.499;0.321;0.708;0.548
Aquiraz;Ceará;Nordeste;2010;0.641;0.550;0.788;0.608
Aracati;Ceará;Nordeste;1991;0.371;0.184;0.578;0.481
Aracati;Ceará;Nordeste;2000;0.523;0.388;0.697;0.530
Aracati;Ceará;Nordeste;2010;0.655;0.624;0.742;0.607
Aracoiaba;Ceará;Nordeste;1991;0.319;0.144;0.537;0.418
Aracoiaba;Ceará;Nordeste;2000;0.451;0.315;0.632;0.462
Aracoiaba;Ceará;Nordeste;2010;0.615;0.556;0.759;0.550
Ararendá;Ceará;Nordeste;1991;0.201;0.044;0.579;0.318
Ararendá;Ceará;Nordeste;2000;0.437;0.256;0.715;0.457
Ararendá;Ceará;Nordeste;2010;0.590;0.516;0.763;0.522
Araripe;Ceará;Nordeste;1991;0.250;0.079;0.537;0.368
Araripe;Ceará;Nordeste;2000;0.371;0.176;0.647;0.447
Araripe;Ceará;Nordeste;2010;0.564;0.459;0.759;0.515
Aratuba;Ceará;Nordeste;1991;0.288;0.088;0.643;0.423
Aratuba;Ceará;Nordeste;2000;0.453;0.289;0.725;0.444
Aratuba;Ceará;Nordeste;2010;0.622;0.587;0.775;0.530
Arneiroz;Ceará;Nordeste;1991;0.275;0.103;0.574;0.351
Arneiroz;Ceará;Nordeste;2000;0.419;0.277;0.633;0.421
Arneiroz;Ceará;Nordeste;2010;0.618;0.564;0.740;0.565
Assaré;Ceará;Nordeste;1991;0.271;0.093;0.540;0.398
Assaré;Ceará;Nordeste;2000;0.370;0.176;0.647;0.445
Assaré;Ceará;Nordeste;2010;0.600;0.482;0.783;0.573
Aurora;Ceará;Nordeste;1991;0.294;0.106;0.556;0.431
Aurora;Ceará;Nordeste;2000;0.435;0.270;0.670;0.456
Aurora;Ceará;Nordeste;2010;0.605;0.521;0.764;0.557
Baixio;Ceará;Nordeste;1991;0.323;0.193;0.503;0.347
Baixio;Ceará;Nordeste;2000;0.452;0.323;0.637;0.450
Baixio;Ceará;Nordeste;2010;0.627;0.575;0.763;0.563
Banabuiú;Ceará;Nordeste;1991;0.286;0.103;0.587;0.385
Banabuiú;Ceará;Nordeste;2000;0.456;0.278;0.701;0.488
Banabuiú;Ceará;Nordeste;2010;0.606;0.530;0.779;0.540
Barbalha;Ceará;Nordeste;1991;0.381;0.175;0.663;0.476
Barbalha;Ceará;Nordeste;2000;0.517;0.357;0.714;0.542
Barbalha;Ceará;Nordeste;2010;0.683;0.637;0.817;0.613
Barreira;Ceará;Nordeste;1991;0.310;0.121;0.566;0.436
Barreira;Ceará;Nordeste;2000;0.463;0.334;0.637;0.468
Barreira;Ceará;Nordeste;2010;0.616;0.551;0.771;0.551
Barro;Ceará;Nordeste;1991;0.286;0.095;0.630;0.392
Barro;Ceará;Nordeste;2000;0.442;0.243;0.727;0.488
Barro;Ceará;Nordeste;2010;0.599;0.510;0.758;0.556
Barroquinha;Ceará;Nordeste;1991;0.192;0.040;0.493;0.358
