Founder;GrauAcademico;BeginYear;EndYear;Momento;NomeIES;SiglaIES;Categoria;OrganizacaoAcademica;IGCContinuo;IGCFaixa;LatitudeIES;LongitudeIES;CidadeIES;EstadoIES;RegiaoIES;EhCidadeIESCapital;OrganizationID;AnoCriacao;LatitudeStartup;LongitudeStartup;P;CidadeStartup;EstadoStartup;EhCidadeStartupCapital;RegiaoStartup
5eb249b1a7e8c4bce1740eb9;Graduação;2015;NULL;NULL;"UNIVERSIDADE DE FRANCA";UNIFRAN;Privada;Universidade;2.888460000000000000;3;-20.569803900000000000;-47.402332000000000000;Franca;"São Paulo";Sudeste;0;3tc-isolamento;2013;-19.930625000000000000;-44.066345000000000000;NULL;Contagem;"Minas Gerais";0;Sudeste
5eb249b6a7e8c4bce1740ebb;Graduação;2011;2014;Antes;"UNIVERSIDADE FEDERAL DE MINAS GERAIS";UFMG;Pública;Universidade;4.249650000000000000;5;-19.870682000000000000;-43.926453000000000000;"Belo Horizonte";"Minas Gerais";Sudeste;1;3tc-isolamento;2013;-19.930625000000000000;-44.066345000000000000;NULL;Contagem;"Minas Gerais";0;Sudeste
5eb249b8a7e8c4bce1740ebd;Graduação;2010;2014;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS";"PUC MINAS";Privada;Universidade;3.117290000000000000;4;-19.922862200000000000;-43.926453000000000000;"Belo Horizonte";"Minas Gerais";Sudeste;1;3tc-isolamento;2013;-19.930625000000000000;-44.066345000000000000;NULL;Contagem;"Minas Gerais";0;Sudeste
5eb249aaa7e8c4bce1740eb3;MBA;2014;2016;Antes;"ESCOLA DE CIÊNCIAS SOCIAIS";FGVSP;Privada;Faculdade;4.780440000000000000;5;-22.941373000000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;3xbit;2018;-22.823654700000000000;-47.060156000000000000;NULL;Campinas;"São Paulo";0;Sudeste
5eb249aaa7e8c4bce1740eb3;Especialização;2011;2012;Antes;"CENTRO UNIVERSITÁRIO DO TRIÂNGULO";UNITRI;Privada;"Centro Universitário";2.360780000000000000;3;-18.956890200000000000;-48.277950000000000000;Uberlândia;"Minas Gerais";Sudeste;0;3xbit;2018;-22.823654700000000000;-47.060156000000000000;NULL;Campinas;"São Paulo";0;Sudeste
5eb2499ea7e8c4bce1740eaf;Graduação;2017;2019;Antes;"ESCOLA SUPERIOR DE PROPAGANDA E MARKETING";ESPM;Privada;Faculdade;3.058100000000000000;4;-23.590000000000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;400g;2017;-30.036667800000000000;-51.228660000000000000;NULL;"Porto Alegre";"Rio Grande do Sul";1;Sul
5eb2499ea7e8c4bce1740eaf;Graduação;2011;2016;Antes;"ESCOLA SUPERIOR DE PROPAGANDA E MARKETING";ESPM;Privada;Faculdade;3.058100000000000000;4;-23.590000000000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;400g;2017;-30.036667800000000000;-51.228660000000000000;NULL;"Porto Alegre";"Rio Grande do Sul";1;Sul
5eb24996a7e8c4bce1740ea9;Mestrado;NULL;NULL;NULL;"UNIVERSIDADE FEDERAL DO CEARÁ";UFC;Pública;Universidade;3.880570000000000000;4;-3.741891700000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb24996a7e8c4bce1740ea9;Graduação;2014;2016;Depois;"CENTRO UNIVERSITÁRIO FARIAS BRITO";"CENTRO UNIVERSITÁRIO FARIAS BRITO";Privada;"Centro Universitário";3.259750000000000000;4;-3.736448600000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb24996a7e8c4bce1740ea9;MBA;2016;2017;Depois;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO";PUC-RIO;Privada;Universidade;3.839080000000000000;4;-22.979396600000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb24996a7e8c4bce1740ea9;Mestrado;2004;2006;Antes;"UNIVERSIDADE FEDERAL DO CEARÁ";UFC;Pública;Universidade;3.880570000000000000;4;-3.741891700000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb24996a7e8c4bce1740ea9;Especialização;2003;2004;Antes;"UNIVERSIDADE DE FORTALEZA";UNIFOR;Privada;Universidade;3.075210000000000000;4;-3.768775300000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb2499da7e8c4bce1740eab;Graduação;1998;2007;Antes;"UNIVERSIDADE DE FORTALEZA";UNIFOR;Privada;Universidade;3.075210000000000000;4;-3.768775300000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb2499da7e8c4bce1740eab;Especialização;1996;1997;Antes;"UNIVERSIDADE DE FORTALEZA";UNIFOR;Privada;Universidade;3.075210000000000000;4;-3.768775300000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb2499da7e8c4bce1740eab;MBA;2010;2012;Depois;"ESCOLA DE CIÊNCIAS SOCIAIS";FGVPA;Privada;Faculdade;4.780440000000000000;5;-22.941373000000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb2499da7e8c4bce1740eab;MBA;2019;2020;Depois;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";PUCRS;Privada;Universidade;3.664940000000000000;4;-30.058925000000000000;-51.228660000000000000;"Porto Alegre";"Rio Grande do Sul";Sul;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb2499da7e8c4bce1740eab;Graduação;1991;1996;Antes;"UNIVERSIDADE DE FORTALEZA";UNIFOR;Privada;Universidade;3.075210000000000000;4;-3.768775300000000000;-38.589928000000000000;Fortaleza;Ceará;Nordeste;1;4advisory;2005;-1.441292100000000000;-48.487826000000000000;NULL;Belém;Pará;1;Norte
5eb2498da7e8c4bce1740ea5;Especialização;2001;2003;Antes;"UNIVERSIDADE PRESBITERIANA MACKENZIE";MACKENZIE;Privada;Universidade;3.178660000000000000;4;-23.548123700000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;4dmais;2016;-23.554176900000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb2498da7e8c4bce1740ea5;Graduação;1996;2000;Antes;"FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA";FIAP;Privada;Faculdade;3.352450000000000000;4;-23.595105600000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;4dmais;2016;-23.554176900000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24988a7e8c4bce1740ea1;Graduação;1980;1984;Antes;"UNIVERSIDADE FUMEC";FUMEC;Privada;Universidade;2.787470000000000000;3;-19.943803900000000000;-43.926453000000000000;"Belo Horizonte";"Minas Gerais";Sudeste;1;4milk;2016;-19.937524000000000000;-43.926453000000000000;NULL;"Belo Horizonte";"Minas Gerais";1;Sudeste
5eb24983a7e8c4bce1740e9d;Graduação;2003;2008;Antes;"UNIVERSIDADE FEDERAL DE UBERLÂNDIA";UFU;Pública;Universidade;3.716570000000000000;4;-18.918473000000000000;-48.277950000000000000;Uberlândia;"Minas Gerais";Sudeste;0;4mm-inovações-em-negócios;2013;-18.931036900000000000;-48.277950000000000000;NULL;Uberlândia;"Minas Gerais";0;Sudeste
5eb24979a7e8c4bce1740e95;Especialização;2002;2003;Antes;"ESCOLA DE CIÊNCIAS SOCIAIS";FGVSP;Privada;Faculdade;4.780440000000000000;5;-22.941373000000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;4shark;2016;-23.567387000000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24979a7e8c4bce1740e95;Especialização;2005;2006;Antes;"Centro Universitário IBMEC";"Centro Universitário IBMEC";Privada;"Centro Universitário";3.081690000000000000;4;-22.912358600000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;4shark;2016;-23.567387000000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24981a7e8c4bce1740e99;Graduação;1988;1992;Antes;"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO";UNESP;Pública;Universidade;4.070850000000000000;5;-23.590852500000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;4shark;2016;-23.567387000000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24981a7e8c4bce1740e99;MBA;2002;2003;Antes;"ESCOLA DE CIÊNCIAS SOCIAIS";FGVSP;Privada;Faculdade;4.780440000000000000;5;-22.941373000000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;4shark;2016;-23.567387000000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24976a7e8c4bce1740e91;Mestrado;NULL;NULL;NULL;"UNIVERSIDADE FEDERAL DE SANTA CATARINA";UFSC;Pública;Universidade;4.088220000000000000;5;-27.600083700000000000;-48.547637000000000000;Florianópolis;"Santa Catarina";Sul;1;4vants;2016;-25.434827400000000000;-49.271848000000000000;NULL;Curitiba;Paraná;1;Sul
5eb24976a7e8c4bce1740e91;Mestrado;NULL;NULL;NULL;"UNIVERSIDADE FEDERAL DE SANTA CATARINA";UFSC;Pública;Universidade;4.088220000000000000;5;-27.600083700000000000;-48.547637000000000000;Florianópolis;"Santa Catarina";Sul;1;4vants;2016;-25.434827400000000000;-49.271848000000000000;NULL;Curitiba;Paraná;1;Sul
5eb24971a7e8c4bce1740e8d;Graduação;2011;2018;Antes;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;4you2;2012;-23.502294700000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24971a7e8c4bce1740e8d;Mestrado;2018;2019;Depois;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;4you2;2012;-23.502294700000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24967a7e8c4bce1740e87;Graduação;2002;2006;Antes;"UNIVERSIDADE FEDERAL DE MINAS GERAIS";UFMG;Pública;Universidade;4.249650000000000000;5;-19.870682000000000000;-43.926453000000000000;"Belo Horizonte";"Minas Gerais";Sudeste;1;4yousee;2010;-19.931522300000000000;-43.926453000000000000;NULL;"Belo Horizonte";"Minas Gerais";1;Sudeste
5eb24967a7e8c4bce1740e87;Mestrado;2007;2009;Antes;"UNIVERSIDADE FEDERAL DE MINAS GERAIS";UFMG;Pública;Universidade;4.249650000000000000;5;-19.870682000000000000;-43.926453000000000000;"Belo Horizonte";"Minas Gerais";Sudeste;1;4yousee;2010;-19.931522300000000000;-43.926453000000000000;NULL;"Belo Horizonte";"Minas Gerais";1;Sudeste
5eb2494ca7e8c4bce1740e79;MBA;2012;2012;Antes;"INSPER INSTITUTO DE ENSINO E PESQUISA";INSPER;Privada;Faculdade;3.996030000000000000;5;-23.598343500000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;88i;2017;-23.550519900000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb2494ca7e8c4bce1740e79;MBA;2002;2004;Antes;"Centro Universitário IBMEC";"Centro Universitário IBMEC";Privada;"Centro Universitário";3.081690000000000000;4;-22.912358600000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;88i;2017;-23.550519900000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb2495ba7e8c4bce1740e7f;MBA;2018;2019;Depois;"FACULDADE DE TECNOLOGIA SAINT PAUL";"FACULDADE DE TECNOLOGIA SAINT PAUL";Privada;Faculdade;3.950020000000000000;5;-23.570406900000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;88i;2017;-23.550519900000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb24961a7e8c4bce1740e81;Graduação;1986;1990;Antes;"INSTITUTO MILITAR DE ENGENHARIA";IME;Pública;"Centro Universitário";4.463570000000000000;5;-22.955718400000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;88i;2017;-23.550519900000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
