City;IsCapital;State;StateAbbrev;Region;IDHM;IDHMEducacao;IDHMLongividade;IDHMRenda;PIB;PIBperCapita;Population;Atividade1;Atividade2;Atividade3;QuantityStartups;TotalFundingAmount;Geocode.lon;Geocode.lat
Macapá;1;Amapá;AP;Norte;733;663;820;723;9994877; 21054.88;503327;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;2;0;-51.0705350;  0.0355735
Araguaína;0;Tocantins;TO;Norte;752;712;821;727;4013612; 22809.80;180470;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-48.2048270; -7.1927733
Paranã;0;Tocantins;TO;Norte;595;461;777;588;212625; 20131.09;10449;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;1;0;-47.8699850;-12.6207117
Palmas;1;Tocantins;TO;Norte;788;749;827;789;8246273; 28754.00;299127;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;14;0;-48.3242858;-10.2490910
Paulo Ramos;0;Maranhão;MA;Nordeste;549;447;677;546;146152;  7075.18;21040;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-45.2401600; -4.4452296
São Luís;1;Maranhão;MA;Nordeste;768;752;813;741;29727650; 27226.41;1101884;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;0;-44.2567292; -2.5299669
Timon;0;Maranhão;MA;Nordeste;649;579;768;614;1802654; 10754.47;169107;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-42.8289187; -5.1045734
Vitória do Mearim;0;Maranhão;MA;Nordeste;596;534;733;540;256394;  7946.03;32764;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-44.8722032; -3.4604085
Teresina;1;Piauí;PI;Nordeste;751;707;820;731;19113870; 22481.67;864845;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;15;0;-42.8037597; -5.0920108
Caucaia;0;Ceará;CE;Nordeste;682;632;808;620;5860370; 16178.90;361400;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-38.6619214; -3.7281443
Chaval;0;Ceará;CE;Nordeste;586;536;716;524;92306;  7126.75;13069;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-41.2205911; -3.0786716
Crato;0;Ceará;CE;Nordeste;713;673;822;655;1537562; 11772.70;132123;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-39.4122984; -7.2299572
Fortaleza;1;Ceará;CE;Nordeste;754;695;824;749;61579403; 23436.66;2669342;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;19;1093825;-38.5269981; -3.7327144
Juazeiro do Norte;0;Ceará;CE;Nordeste;694;642;810;644;4427525; 16375.01;274207;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-39.3124461; -7.2290365
Maracanaú;0;Ceará;CE;Nordeste;686;665;788;617;8537588; 37977.92;227886;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-38.6261113; -3.8674127
Missão Velha;0;Ceará;CE;Nordeste;622;552;754;579;616366; 17407.05;35393;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;1;0;-39.1402612; -7.2496801
Quixadá;0;Ceará;CE;Nordeste;659;624;775;592;937277; 10822.44;87728;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-39.0161259; -4.9684385
Barcelona;0;Rio Grande do Norte;RN;Nordeste;566;442;726;564;35277;  8680.27;3998;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;4;55691;-35.9260670; -5.9506581
Parnamirim;0;Rio Grande do Norte;RN;Nordeste;766;726;825;750;5022894; 19720.13;261469;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-35.2713164; -5.9115545
Lagoa Nova;0;Rio Grande do Norte;RN;Nordeste;585;483;764;542;262166; 16816.27;15614;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços;2;0;-36.4705973; -6.0937853
