Ano;State;Region;PIB;"PIB Y-1";"Growing Tax"
2005;Ceará;Nordeste;41059464.00;36890815.00;0.113000
2005;"Distrito Federal";Centro-oeste;75732681.00;67076505.00;0.129049
2005;"Espírito Santo";Sudeste;47020584.00;39732641.00;0.183425
2005;Goiás;Centro-oeste;53865120.00;51103822.00;0.054033
2005;Maranhão;Nordeste;25104214.00;22127135.00;0.134544
2005;"Mato Grosso";Centro-oeste;34052266.00;33388672.00;0.019875
2005;"Mato Grosso do Sul";Centro-oeste;23688165.00;23372310.00;0.013514
2005;"Minas Gerais";Sudeste;188364428.00;171870931.00;0.095964
2005;Pará;Norte;40522896.00;37272723.00;0.087200
2005;Paraíba;Nordeste;17557239.00;15757830.00;0.114191
2005;Paraná;Sul;127464516.00;123451534.00;0.032507
2005;Pernambuco;Nordeste;50240325.00;44982683.00;0.116881
2005;Piauí;Nordeste;10705963.00;9406460.00;0.138150
2005;"Rio de Janeiro";Sudeste;269830066.00;241206741.00;0.118667
2005;"Rio Grande do Norte";Nordeste;19966918.00;17252397.00;0.157342
2005;"Rio Grande do Sul";Sul;136362779.00;131192202.00;0.039412
2005;Rondônia;Norte;12511820.00;11004643.00;0.136958
2005;Roraima;Norte;3193432.00;2822758.00;0.131316
2005;"Santa Catarina";Sul;81549236.00;73618967.00;0.107720
2005;"São Paulo";Sudeste;743042946.00;652955566.00;0.137969
2005;Sergipe;Nordeste;14430117.00;13336259.00;0.082021
2005;Tocantins;Norte;7707343.00;7251578.00;0.062850
2006;Acre;Norte;4661806.00;4300582.00;0.083994
2006;Alagoas;Nordeste;17395671.00;15484518.00;0.123423
2006;Amapá;Norte;5280824.00;4306409.00;0.226271
2006;Amazonas;Norte;39933214.00;33980877.00;0.175167
2006;Bahia;Nordeste;95347798.00;88291877.00;0.079916
2006;Ceará;Nordeste;46500321.00;41059464.00;0.132512
2006;"Distrito Federal";Centro-oeste;84661406.00;75732681.00;0.117898
2006;"Espírito Santo";Sudeste;53463871.00;47020584.00;0.137031
2006;Goiás;Centro-oeste;61375409.00;53865120.00;0.139428
2006;Maranhão;Nordeste;29710646.00;25104214.00;0.183492
2006;"Mato Grosso";Centro-oeste;30700168.00;34257050.00;-0.103829
2006;"Mato Grosso do Sul";Centro-oeste;26667893.00;23725258.00;0.124030
2006;"Minas Gerais";Sudeste;212659551.00;188364428.00;0.128979
2006;Pará;Norte;45983028.00;40522896.00;0.134742
2006;Paraíba;Nordeste;20838014.00;17557239.00;0.186862
2006;Paraná;Sul;137648307.00;127464516.00;0.079895
2006;Pernambuco;Nordeste;55485296.00;50240325.00;0.104398
